"A lot of content was deleted by the one who uploaded it. If you have backups for any removed items, please submit them here.",,
Response,Timestamp,Write below any feedback you have.
"Will add it when I have time (probably during the weekend). As for watching anime with subs there's better way to do it (I think, cause I didn't try it): http://forum.koohii.com/viewtopic.php?id=13318",05/10/2015 01:56:11,"Greetings Earthlings!
I have no idea who maintains DJT or how it's supposed to work, so I'm posting this here in hopes some /a/nons can spread the love.
Following is the number of suggestions I have for DJT guide/resource cache that seem to be lacking from current version for some reason.
This is what helped me a great deal and I found via various means, I reckon it would be mostly helpful to people who seriously study Japanese themselves, and are not of complete novice level.
Now, let's just assume all materials were provided by kind /a/nons from somewhere, and I'm just passing the message along. Please do move/backup/re-link the files linked somewhere as those links are unlikely to be available for long.

>Pronunciation Training
If you don't want to sound like a baka gaijin but would rather have a 綺麗な発音 here's a good training for you:

http://www.youtube.com/watch?v=W_JcI0kkjgo - How to improve your Japanese pronunciation - Voice Acting Exercise Amenbo no Uta
http://www.youtube.com/watch?v=jPtFZ-8Jov4 - Japanese Pronunciation Voice Acting Exercise -A I U E O-
Seiyuu of Gaijin origin performs exercises and provides explanations, her pronunciation is rated highly by native Japanese speakers.
Backup of videos along with a pdf you can print out and use for training is provided here
https://mega.nz/#F!rRNHnDrT!aDmeAVvYPKexGJ57rXrOuA - please re-host

>DJOG
This version differs from the one already present in CoR in that it has a clickable TOC which makes navigation much easier. Scans quality leave much to be desired, as with all available versions. Good for use along with 日本語文法辞典全巻
WinDjView (free) is required to view djvu files
cornucopia > Seiichi Makino, Michio Tsutsui 2553475

>JGlossator
Insanely awesome software for use instead of TA/Jparser, shows all kanji and dictionary at a glance thus allowing you to acquire familiarity with Kanji much faster. Uses WWWJDIC as a base for glossing but there are some discrepancies so you might want to check rikaichan if something seems weird in a certain phrase. Isn't very good at deciphering complex grammar so a basic grasp of Japanese is required. Most useful for reading VNs or manga when you need to look up a couple of unfamiliar Kanji quickly. Absolutely awesome with Capture2Text and ITH for obvious reasons.
http://jglossator.sourceforge.net/#download - free

>TTS
If you are like me and have acquired a basic grasp of Japanese while watching a lot of cartoons, then you will probably have an easy time reading something alongside text-to-speech output. This is where this awesome software helps tremendously:
http://www.cross-plus-a.com/balabolka.htm - apparently free with a portable version available.
You can convert  an entire book into an mp3, or just use it to voice the contents of your clipboard (useful for browsing, or for use with Capture2Text and ITH). Now you can read manga or VN and get those unvoiced lines by protagonist voiced, also makes browsing the web much easier. I recommend setting up a global hotkey for ""voice clipboard"" function.
Get Japanese TTS engine here:
http://www.youtube.com/watch?v=wmGixWBZrOY
This is a perfectly functional and lightweight, if somewhat low quality engine (Haruka).
or if you have an access to a certain famous, ahem, cornucopia search for: Misaki (Kyoko) 1073524
Misaki in particular is very good and natural, weights around 720mb.
How to use:
1. Install Balabolka or use a portable version
2. Register your speech engine of choice
3. Setup global hotkeys for stuff like ""voice clipboard"", enable ""clipboard watch"" if you want it to auto-voice the contents of clipboard (useful in some usecases but annoying in others)
4. If you need to convert a book into an mp3, find the txt version or make it yourself and then right click > balabolka > convert to mp3, this will launch a separate process using your default engine settings, you can convert multiple books simultaneously and then load them onto your mp3 player to listen to (during sleep)
Example of use for manga:
1. Use Capture2Text to grab unfamiliar text
2. Capture2Text passes the data to clipboard
3. JGlossator displays glossing
4. Balabolka provides TTS (""clipboard watch"" function on)
Example of use for VN:
1. Use ITH to hook into game engine
2. ITH passes the data to clipboard
3. JGlossator displays glossing
4. Balabolka provides TTS (""clipboard watch"" function off so you can hear lines voiced by seiyuu normally, but press global hotkey for ""voice clipboard"" if you want to hear a line originally unvoiced)
This greatly speeds up the reading of VNs of reasonable complexity. Such manner of vocabulary acquisition is the closest you probably can achieve to emulating ""native acquisition"", as at first you get exposed to the sound of certain words and then (or simultaneously) to their written form.

>Dark Japanese
https://darkjapanese.wordpress.com/ A serious site for serious self-learners and those who have an interest in linguistics to a certain degree. If you don't understand anything there, it's probably not for you. If you have a high intelligence and motivation, you will find scientific papers and research provided there useful.
https://darkjapanese.wordpress.com/tools/ exceedingly useful toolset, have a look, it might save your life
http://ja-minimal.tumblr.com/ A self-study course from the authors of DJ so if you find the site incomprehensible, this is probably not for you. Use whatever you feel comfortable with.

>Stroke Orders
https://commons.wikimedia.org/wiki/Commons:Stroke_Order_Project not enough love is given to the Wikipedia in the Guide, I feel, but there is no reason not to use their rather comprehesible references on various aspects related to Kanji and stuff. So here's the Stroke Order Project, which -you guessed it- will help you learn the stroke orders for Kanji, features ROC/PRC/Japanese versions.

>Watching anime with Japanese Subs
Arguably one of the best ways to acquire Kanji and general vocabulary, has benefits over trying to read low quality  scans of various literature as every line is voiced, so you can remember both the way a word is written AND pronounced, by a professional native seiyuu, no less.
So, how to get the most out of watching your Chinese cartoons?
1. Get subs from kitsunekko http://kitsunekko.net/dirlist.php?dir=subtitles/japanese -btw update link in DJT guide, that one is dead
2. Get something like a Daum PotPlayer (cor: 2143954 as of now)
3. Go to Preferences > Subtitles > Word Searching and setup it something like:
Condition: Use when playback is paused(Recommended)
Browser: System Default
Highest priority - Copy to clipboard
Second priority - https://translate.google.com/#ja/en/%%SS
4. Now, when you watch an interesting cartoon and encounter some unfamiliar word, simply pause the playback and click the subs - they will be copied to clipboard, and you can get JGlossator output, or right-click and select Google Translate if you would rather use that (Google Translate also has its own TTS). However, Google does not play nice with some subs split by spaces so JGlossator is usually more robust.
5. Practical result of such setup is that if you previously could not be assed to expand your vocabulary and would just settle for a translation of some unfamiliar word provided by a fansubber, now you can look up the word and kanji in several (milli)seconds, and understand it in context, which drastically improves comprehension and retention.


Oh, and my vote goes for imabi.net, this is really a great resource that provides a lot of information in a readable structured form in one place, I feel it deserves a much more prominent mention than just ""hey here's some obscure guide no one ever uses"" - well, if something is not popular (yet) it does not mean it's not good.
Current method of referencing things only adds to the confusion.
I would suggest structuring references to the various guides in a following manner perhaps:
If you are a beginner and/or native English speaker, wish to acquire a basic grasp of Japanese so that you can rely more on hearing and less on (Horrible) subs while you watch cartoons use:
Tae Kim http://www.guidetojapanese.org/learn/grammar etc, whatever folks are into these days
If you are a somewhat advanced learner and need a comprehensive reference, wish to be able to read VNs of a reasonable complexity use:
imabi.net
If you are into weird shit and would like to know more Japanese than native Japanese folks, use:
https://darkjapanese.wordpress.com/

http://ja-minimal.tumblr.com/
That way everyone can find the resource that is fit for their needs, and there won't be meaningless holywars about which resource is the best - they are all arguably targeted toward different audiences, with stuff such as DJ being rather obscure yet indispensable nevertheless.
"
"For CoR post here/e-mail me with links (up right corner of this page you can find my e-mail)/if you want I can give you edit access (in this case also e-mail me).

Reading List already has link that lets you to edit it .",06/10/2015 05:50:38,Is there any way to contribute resources to the CoR? The Reading List page too.
,07/10/2015 16:27:48,"To /a/non who posted about anime with subs - well, half-baked html5 solutions are all nice and trendy, but the Potplayer method is indeed the best, and it actually works. I suggest adding this to the guide, in case someone still uses some old shit to watch their cartoons - Potplayer has all codecs built in, renders subs nicely and is generally a very good player with useful features such as clickable subs as described by that /a/non.
I honestly think the guys in that thread are just not aware that software with such functional exists already, they are trying to re-invent the wheel.
https://github.com/TranslationPlayer/Trans-Player-Desktop is also perhaps worth a passing mention, but I can't see how it is more convenient than Potplayer + JGlossator link. Using Potplayer you get essentially fully fledged fullscreen viewing experience, and not some clumsy smallish window."
,04/11/2015 21:53:16,"Would you mind if the 2c. Grammar section of the Guide was updated with the following links: 

DoJG pdf
http://www.mediafire.com/view/auarbvkf79ihmgc/%E6%97%A5%E6%9C%AC%E8%AA%9E%E6%96%87%E6%B3%95%E8%BE%9E%E5%85%B8%E5%85%A8%E5%B7%BB.pdf

DoJG Anki deck:
http://www.mediafire.com/download/g0388ruwmhz6x0l/%E6%97%A5%E6%9C%AC%E8%AA%9E%E6%96%87%E6%B3%95%E8%BE%9E%E5%85%B8%E4%BE%8B%E6%96%87%E5%85%A8%E9%9B%86%28cloze%29.apkg

The is DoJG pdf is a much further updated portable copy of the page which is linked under that section. Both the pdf and Anki deck are of great value to learners but are hidden away instead of being directly accessible from the Guide proper. Thank you for taking the time to read these suggestions. "
,06/11/2015 03:21:42,A really good resource for kanji lookup on android is an app called kanji draw. I've never had any problem with any kanji in it and I prefer it to something on my PC a lot of the times because I would rather draw out the kanji with my finger rather than my mouse.
,14/11/2015 01:33:44,change kitsunekko link to http://kitsunekko.net/dirlist.php?dir=subtitles%2Fjapanese%2F ; current one gives some error
,17/11/2015 03:35:40,"Add Tagaini Jisho to dictionaries. Offline dictionary for Windows, Mac, and Linux with kanji lookup and inbuilt flashcards which can be exported to Anki. http://www.tagaini.net"
,25/11/2015 06:12:44,"these are simple short stories, for people starting out to read
It includes the book and audiofiles

https://mega.nz/#F!txECgZ6K!DXY7vyt4jrlGbtzCoqTm2g"
,28/11/2015 17:01:59,"The Dictionary of Japanese Grammar anki and pdf project have been updated and moved to a single mega link. It has been posted in the daily thread a few times now. Might want to add it to the guide directly so people can find it. 

https://mega.nz/#F!HlFTiCxI!I3_D5C9_NyysiMHOfr0pkw"
Added. Thanks for the contribution and thanks for filling out the relevant information for us.,26/12/2015 08:51:29,"ヤマノススメ1～10
2、6~10 are digital rips from 楽天.
https://mega.nz/#F!70NxFIyb!qtO84K1AVRJMmRoWsrPqXA
Link to spreadsheet with copy/paste details matching CoR layout, if you want to add this to it. 
https://docs.google.com/spreadsheets/d/1LIuShb6L9FDBQpx7Yy9FgNyzp4tLMwtMCc26-TZMaBo/edit?usp=sharing"
"Added, thanks. If you'd like to add more or organize them, feel free to request CoR edit access (email lskj3rengwp2@gmail.com or request it through the sheet)",03/01/2016 23:28:56,"Books.

https://goo.gl/PDx0yU"
"Added, thanks.",17/01/2016 21:51:13,"DJT-made radicals deck. Based on etymology, production-compatible, uses the Kangxi radicals system, includes more variant forms than wikipedia, has notes for questionable radicals, zero chance of a takedown.

https://mega.nz/#!DFsBlJxQ!izORMjzzNt7Wp0Mm99otA0jdVnwxSBQMTOpeH0pl3K8"
"One of the unfortunate downsides of distributing the mega accounts to several people and letting them add the links back. I personally don't have backups for these, but if anyone has a proper link or can upload replacements for the batch of dead links next to ""Departures"", feel free to submit them.",25/01/2016 18:55:46,"Just want to report that link of ""Adrift in Tokyo"" on 映画 tab here : http://nocozazal.co.nf/resources.html is linked to ""a Scene at the Sea"" (https://mega.nz/#F!G1klgbqI!LkYa63O7qd9HZ2xJyxGA9A) instead

Also I can't seem to access ""Departures"" mega link (https://mega.nz/#F!KVpRiIIY!kfC6SCt2s8IObf7KyzVS_w) it gives me ""access denied""

and you're doing god's work anon really appreciate it"
Updated it with your link. Thanks.,26/01/2016 01:45:10,"I noticed that the scan of Tobira uploaded in the CoR has ~10 pages missing from chapter two. I found a better scan that should have all the pages. It also has the kanji book, along with the public resources from Tobira's website such as kanji practice sheets, kanji exercises, grammar exercises, audio for each lesson and anki flash cards with media for each lesson.

If it gets taken down, post on 8/a/'s QAJT and I'll reupload it.

https://mega.nz/#F!0V5jUTgJ!2I2spNWIUi5O_RbiuUDHDQ"
"Thanks a lot for re-uploading and submitting these. Added them back to the sheet. And yeah, the threads can be quite a mixed bag sometimes.",03/02/2016 16:19:28,"Missing manga links from the CoR 漫画 sheet.

究極!!変態仮面
https://mega.nz/#F!x0gQDBYY!s3zMGnTsz4wn8WYwRYwRFg

無頼伝涯
https://mega.nz/#F!VkQQVYob!zF13ywcn2BiV6j6DVm6ftQ

ちょびっツ
https://mega.nz/#F!NkhxSBjR!Yg3YCyNndTLy5rDFbVj6Zw

モテキ
https://mega.nz/#F!UwZVmRxR!dTbh3H2RJjwTdG1Dnf4kpA

世界征服女子高生サツキ
https://mega.nz/#F!VxgWhD5C!G0bSdppj3a4iVioweb354w

数学ガール
https://mega.nz/#F!dgZVBAiK!-iN9xvDImPLqJay9oKNR7A

道士郎でござる
https://mega.nz/#F!I5RBVKbJ!jD8agB7V_B5gwgI8HCnvmw

フルメタル・パニック！
https://mega.nz/#F!14YjTCjR!jG1L9SHBp0KxyHd7El2GwQ

マイガール
https://mega.nz/#F!Ypo1WZCb!B2rIvQ3dypdeeCjeKJJNqw

漂流教室
https://mega.nz/#F!kwhlmBAR!ekl_ACuMSIU02PvJZ0NvVw

聖☆おにいさん
https://mega.nz/#F!I0xRxQxQ!Kl-ddvvYefeJ6YGQArt1hA

銀の聖者 北斗の拳 トキ外伝
https://mega.nz/#F!x8RUULDK!fpIpyA67FeyFDJcH92gyuw

銀河鉄道999
https://mega.nz/#F!5pgjnAxa!HD5gYzGQgjmxZjPiiWPe9w

AKIRA
https://mega.nz/#F!Y0RmWCbZ!4F8pyhoCkPjvHnz5Ep5Z7A

もっけ
https://mega.nz/#F!R0xkAQ5Z!kOrf6EbDgkLONdoU552icA

拳児
https://mega.nz/#F!tg5nXSQY!AJ5Ns_tVwmZLueZwX1poRg

ヤンデレ彼女
https://mega.nz/#F!YhoRmb5B!bkd4tcp11DjExW_r0Ka-qQ

チェーザレ
https://mega.nz/#F!RpJgAaBS!EuOVOtu7WNb7yiduWvFLZg

藍より青し
https://mega.nz/#F!gtBnFbpZ!Ls56iGUeSNVRbnVgQ3cfKA

ガンスリンガー・ガール
https://mega.nz/#F!A0AwTQ7T!cl2EHSLxySd-2Pucr3K6uA

部長島耕作
https://mega.nz/#F!41pxFbjI!XrBersWQ8j-Su3NdU0t7QA

ロザリオとバンパイア Season II
https://mega.nz/#F!ttA0mSaY!3Y63q1FpnJOgE14j14Vrgg

とある科学の超電磁砲
https://mega.nz/#F!N0AwiDbI!aYr9yQh2zUveoSmHshp9bA

サラリーマン金太郎
https://mega.nz/#F!c8AVxK5A!zAh_sdg2aPGiA1dTD73d2A

らんま1／2
https://mega.nz/#F!99pmiLRS!4HOIk-xM_cEVDhLbxd9SuQ

疾風伝説特攻の拓
https://mega.nz/#F!EhRQzYYQ!qBC8TstpLHbf3LLmQj3llw

月下の棋士
https://mega.nz/#F!9sY0SbgK!7xQiKiwGVPBn63psEyE6yg

怨み屋本舗
https://mega.nz/#F!ApIg3ZwR!gmh0anbmP_wjnTtpBInKwQ

哲也-雀聖と呼ばれた男
https://mega.nz/#F!UhIm0b7I!kXHY_FDY8rDwrppXmgo1Yw

I have some of the movies in the 映画 link which are missing. If possible I'll restore those links in the same fashion over the upcoming weekend and post the links in this Feedback Form. Thanks for hosting this central djt webpage, it's really useful. On a side note, the DJT thread itself is full of hypersensitive entitled, whiny, insufferable little faggots. What a depressing shithole that general is."
"Cool, thanks. I'll add what's there now and then update it when you're done filling it in. On a side note, have you made any additions/changes outside of the 映画 sheet that aren't in the live version of the CoR that I should know about? Want the all in one package added to the live CoR next to the other decks? I'd add the sheet sizes, but I don't have the hard drive space to download everything to keep it accurate right now.",05/02/2016 19:13:38,"The 映画 sheet links have been restored. To save posting 67 links in the feedback form, please refer to the sheet for copy/pasting (or what have you). 
https://docs.google.com/spreadsheets/d/1yHFYU8E9_W7AagQzKbVchNRF6WGVPjIGCkY1TS60okY/edit?usp=sharing

Two of them I was unable to upload as for whatever reason their folders only contained subtitle files. A bit fucking out there but it is what it is. In the interest of 映画ファン I'm working on expanding the available selection. There is a decent amount being held by Miss Rutracker but directing English natives learning Japanese to a Russian site is a bit of dick move and having them a little more organised for easier browsing and downloading, well, why the fuck not だと思うんですよね。"
"Alright, I'll put it next to the rest of the Anki decks for now just in case someone might use it since it seems like a useful package to direct people who want more spoonfeeding than what the guide offers to. If you update it and need the link changed out feel free to submit the new link to feedback.",08/02/2016 15:40:58,">On a side note, have you made any additions/changes outside of the 映画 sheet that aren't in the live version of the CoR that I should know about? 
Not that I am aware of. I think the only differences are the entries with links being added at the moment on the 映画 sheet. Everything else should be the same. 

>Want the all in one package added to the live CoR next to the other decks? 
It was something I thought was a nice self contained guide with resources type thing and so stuck it at the top of each page with the other main links and was placed on personal whim. You are in a better position to judge whether or not such a thing ought be integrated into the proper CoR for a general audience of learners."
"Added. If updates are made for the addition of audio or error corrections, just submit the new link and I'll update it.",10/02/2016 09:25:31,"5k vocab deck based directly on A Frequency Dictionary of Japanese. Functions as an accurate rip of said dictionary, unlike Nayr's core5k. By virtue of being an accurate rip of the dictionary, it has example sentences and frequency stats. Nayr's is a sentences deck, with the term and definitions combined. This is a proper vocab deck with the term split off from the definitions, and it's not based on Nayr's deck.

It was reordered to shift words that extensively show up in one register of communication much more than others down the list. So it's not in exactly the same order as the dictionary. Words that exclusively show up only in speech or only in books or whatever were shifted down.

https://mega.nz/#!yQdHEaAL!wwV7wX46the6bOYwVNkkUohgk0IViQCQfLidyfk49RE"
"Added. If the contents of the zips get re-uploaded to mega, send the new link and I'll update it.",12/02/2016 20:08:59,"https://www.mediafire.com/?1es5bsw87sufm5h
https://www.mediafire.com/?t465ta7j8qa5wvj

10 or so gb of offline epwing dictionaries, dont remember if I tried to get this added to the CoR like this or not since it was some time ago."
Updated the link. Thanks.,14/02/2016 20:57:39,"Anonymous Core 5K update: https://mega.nz/#!uY1GELBb!9jnPFgL1VGTtZo2UQ-_MadotGyFHTQy1TYk-_jeHn1Y

Removed a few stray spaces after forwardslashes, fixed a few remaining formatting failures, corrected an error from the original dictionary where あまり's definitions had switched parts of speech."
Updated the link again.,15/02/2016 12:29:08,"Anonymous Core5k updated again, sorry. I found two more formatting errors in the original data: 
-897	幸せ	shiawase na-adj.happy	n.	happiness; fortune, luck
+897	幸せ	shiawase	na-adj.	happy	n.	happiness; fortune, luck
-1127	次第	shidai adv.depend on; as soon as	n.	order
+1127	次第	shidai	adv.	depend on; as soon as	n.	order

And noticed a new kind of errant space, this one with word hyphenation instead of slashes.

https://mega.nz/#!7RsBQS4D!_ece21KUVpQ0auC_WLZboQ31U2nXtSvmsYg9wk9xJfM"
No problem. Updated.,15/02/2016 15:09:18,"Sorry for the sheer frequency of this.

Fixed the する verbs which had the (する) in the reading instead of the term. Fixed (<ござる). Fixed shitloads of errant spaces in example sentences.

https://mega.nz/#!XMNmDYbK!2k0v-cXUOE5i2v2Vter4HUdbNqKjapXxek3YRtzscFY"
